Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3,KMeans Cluster,Agglomerative Cluster
Nosferatu,0,0.5454545454545454,0.3387096774193547,0.5811965811965812,15,0.6285714285714288,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","John Linson, Taylor Sheridan",Kevin Costner, Luke Grimes, Kelly Reilly,Drama, Western,,1,1
Anora,0,0.6666666666666665,0.3951612903225805,0.3461538461538461,18,1.0000000000000002,"A young escort from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",Drew Goddard,Kaitlin Olson, Daniel Sunjata, Javicia Leslie,Crime, Drama, Mystery,2,1
The Brutalist,0,0.7272727272727271,1.0,0.0555555555555555,18,0.9714285714285712,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.",Sean Baker,Mikey Madison, Paul Weissman, Yura Borisov,Comedy, Drama, Romance,2,1
The Substance,0,0.5454545454545454,0.411290322580645,1.0,18,0.6285714285714288,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",Clyde Phillips,Patrick Gibson, Christian Slater, Molly Brown,Crime, Drama, Mystery,1,2
The Order,0,0.3939393939393936,0.2096774193548386,0.0512820512820512,15,0.5428571428571429,"A series of bank robberies and car heists frightened communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals, but rather a group of dangerous domestic terrorists.",Hwang Dong-hyuk,Lee Jung-jae, Tom Choi, Greg Chun,Action, Drama, Mystery,0,0
I'm Still Here,0,1.0,0.379032258064516,0.2478632478632479,15,0.857142857142857,"A mother is forced to reinvent herself when her family's life is shattered by an act of arbitrary violence during the tightening grip of a military dictatorship in Brazil, 1971.",Graham Yost,Rebecca Ferguson, Common, Tim Robbins,Drama, Mystery, Sci-Fi,2,1
Babygirl,0,0.1515151515151513,0.1935483870967741,0.0982905982905983,18,0.6571428571428573,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,"Taylor Sheridan, Christian Wallace",Billy Bob Thornton, Ali Larter, Jacob Lofland,Drama,,,0,0
Conclave,0,0.5757575757575757,0.2419354838709677,0.358974358974359,12A,0.6571428571428573,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a web of conspiracies and intrigue that could shake the very foundation of the Catholic Church.",Sheryl J. Anderson,JoAnna Garcia Swisher, Brooke Elliott, Heather Headley,Drama, Romance,,2,1
Emilia Pérez,0,0.0,0.3387096774193547,0.235042735042735,15,0.4000000000000001,"Emilia Pérez follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.",Edward Berger,Ralph Fiennes, Stanley Tucci, John Lithgow,Drama, Mystery, Thriller,0,0
Gladiator II,0,0.333333333333333,0.467741935483871,0.7863247863247864,15,0.2285714285714286,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",Jacques Audiard,Zoe Saldaña, Karla Sofía Gascón, Selena Gomez,Comedy, Crime, Drama,1,2
A Complete Unknown,0,0.6363636363636362,0.411290322580645,0.0641025641025641,15,0.4000000000000001,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world.","Matt Duffer, Ross Duffer",Millie Bobby Brown, Finn Wolfhard, Winona Ryder,Drama, Fantasy, Horror,2,0
We Live in Time,0,0.4545454545454546,0.1451612903225806,0.1153846153846153,15,0.0857142857142858,"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",Ronan Bennett,Eddie Redmayne, Lashana Lynch, Eleanor Matsuura,Action, Crime, Drama,0,0
Wicked,0,0.6363636363636362,0.564516129032258,0.4786324786324787,PG,0.485714285714286,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.",Nick Santora,Alan Ritchson, Maria Sten, Malcolm Goodwin,Action, Crime, Drama,1,1
Better Man,0,0.6363636363636362,0.3629032258064515,0.0,15,0.5999999999999999,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams.",Jon M. Chu,Cynthia Erivo, Ariana Grande, Jeff Goldblum,Fantasy, Musical, Romance,2,0
Sonic the Hedgehog 3,0,0.4545454545454546,0.1612903225806451,0.1239316239316239,PG,0.0,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",Darren Star,Sutton Foster, Hilary Duff, Debi Mazar,Comedy, Romance,,0,0
Blink Twice,0,0.3030303030303027,0.096774193548387,0.3290598290598291,15,0.2857142857142858,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.",Jeff Fowler,Jim Carrey, Ben Schwartz, Keanu Reeves,Action, Adventure, Comedy,0,0
A Real Pain,0,0.4848484848484844,0.0,0.1666666666666666,15,0.857142857142857,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.",Zoë Kravitz,Naomi Ackie, Channing Tatum, Alia Shawkat,Mystery, Thriller,,2,0
Saturday Night,0,0.4242424242424243,0.1532258064516128,0.0427350427350427,15,0.1142857142857143,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).",Taylor Sheridan,Harrison Ford, Helen Mirren, Brandon Sklenar,Drama, Western,,0,0
